ID_UBICACION,DS_BARRIO,DS_CIUDAD_BARRIO,ID_COMUNA,DS_COMUNA
1,CONSTITUCION,CIUDAD AUTÓNOMA DE BUENOS AIRES,1,Comuna 1
2,SAN TELMO,CIUDAD AUTÓNOMA DE BUENOS AIRES,1,Comuna 1
3,SIN INFORMACION,CIUDAD AUTÓNOMA DE BUENOS AIRES,1,Comuna 1
4,RETIRO,CIUDAD AUTÓNOMA DE BUENOS AIRES,1,Comuna 1
5,PUERTO MADERO,CIUDAD AUTÓNOMA DE BUENOS AIRES,1,Comuna 1
6,SAN NICOLAS,CIUDAD AUTÓNOMA DE BUENOS AIRES,1,Comuna 1
7,MONSERRAT,CIUDAD AUTÓNOMA DE BUENOS AIRES,1,Comuna 1
8,BOCA,CIUDAD AUTÓNOMA DE BUENOS AIRES,1,Comuna 1
9,BARRACAS,CIUDAD AUTÓNOMA DE BUENOS AIRES,1,Comuna 1
10,SAN CRISTOBAL,CIUDAD AUTÓNOMA DE BUENOS AIRES,1,Comuna 1
11,RECOLETA,CIUDAD AUTÓNOMA DE BUENOS AIRES,2,Comuna 2
12,BALVANERA,CIUDAD AUTÓNOMA DE BUENOS AIRES,2,Comuna 2
13,SAN NICOLAS,CIUDAD AUTÓNOMA DE BUENOS AIRES,2,Comuna 2
14,SIN INFORMACION,CIUDAD AUTÓNOMA DE BUENOS AIRES,2,Comuna 2
15,BERNAL,CIUDAD AUTÓNOMA DE BUENOS AIRES,2,Comuna 2
16,PALERMO,CIUDAD AUTÓNOMA DE BUENOS AIRES,2,Comuna 2
17,BALVANERA,CIUDAD AUTÓNOMA DE BUENOS AIRES,3,Comuna 3
18,SIN INFORMACION,CIUDAD AUTÓNOMA DE BUENOS AIRES,3,Comuna 3
19,SAN CRISTOBAL,CIUDAD AUTÓNOMA DE BUENOS AIRES,3,Comuna 3
20,MONSERRAT,CIUDAD AUTÓNOMA DE BUENOS AIRES,3,Comuna 3
21,SAN NICOLAS,CIUDAD AUTÓNOMA DE BUENOS AIRES,3,Comuna 3
22,CONSTITUCION,CIUDAD AUTÓNOMA DE BUENOS AIRES,3,Comuna 3
23,PARQUE PATRICIOS,CIUDAD AUTÓNOMA DE BUENOS AIRES,3,Comuna 3
24,RECOLETA,CIUDAD AUTÓNOMA DE BUENOS AIRES,3,Comuna 3
25,BARRACAS,CIUDAD AUTÓNOMA DE BUENOS AIRES,3,Comuna 3
26,ALMAGRO,CIUDAD AUTÓNOMA DE BUENOS AIRES,3,Comuna 3
27,NUEVA POMPEYA,CIUDAD AUTÓNOMA DE BUENOS AIRES,4,Comuna 4
28,BARRACAS,CIUDAD AUTÓNOMA DE BUENOS AIRES,4,Comuna 4
29,PARQUE PATRICIOS,CIUDAD AUTÓNOMA DE BUENOS AIRES,4,Comuna 4
30,BOCA,CIUDAD AUTÓNOMA DE BUENOS AIRES,4,Comuna 4
31,CONSTITUCION,CIUDAD AUTÓNOMA DE BUENOS AIRES,4,Comuna 4
32,RODRIGO BUENO,CIUDAD AUTÓNOMA DE BUENOS AIRES,4,Comuna 4
33,VILLA SOLDATI,CIUDAD AUTÓNOMA DE BUENOS AIRES,4,Comuna 4
34,SIN INFORMACION,CIUDAD AUTÓNOMA DE BUENOS AIRES,4,Comuna 4
35,GREGORIO DE LAFERRERE,CIUDAD AUTÓNOMA DE BUENOS AIRES,4,Comuna 4
36,FLORES,CIUDAD AUTÓNOMA DE BUENOS AIRES,4,Comuna 4
37,PUERTO MADERO,CIUDAD AUTÓNOMA DE BUENOS AIRES,4,Comuna 4
38,BOEDO,CIUDAD AUTÓNOMA DE BUENOS AIRES,5,Comuna 5
39,CABALLITO,CIUDAD AUTÓNOMA DE BUENOS AIRES,5,Comuna 5
40,ALMAGRO,CIUDAD AUTÓNOMA DE BUENOS AIRES,5,Comuna 5
41,NUEVA POMPEYA,CIUDAD AUTÓNOMA DE BUENOS AIRES,5,Comuna 5
42,BALVANERA,CIUDAD AUTÓNOMA DE BUENOS AIRES,5,Comuna 5
43,SAN CRISTOBAL,CIUDAD AUTÓNOMA DE BUENOS AIRES,5,Comuna 5
44,SIN INFORMACION,CIUDAD AUTÓNOMA DE BUENOS AIRES,5,Comuna 5
45,DOCK SUD,CIUDAD AUTÓNOMA DE BUENOS AIRES,16,SIN INFORMACION
46,SANTA MARIA,CIUDAD AUTÓNOMA DE BUENOS AIRES,5,Comuna 5
47,CABALLITO,CIUDAD AUTÓNOMA DE BUENOS AIRES,6,Comuna 6
48,ALMAGRO,CIUDAD AUTÓNOMA DE BUENOS AIRES,6,Comuna 6
49,PARQUE CHACABUCO,CIUDAD AUTÓNOMA DE BUENOS AIRES,6,Comuna 6
50,BOEDO,CIUDAD AUTÓNOMA DE BUENOS AIRES,6,Comuna 6
51,VILLA CRESPO,CIUDAD AUTÓNOMA DE BUENOS AIRES,6,Comuna 6
52,SIN INFORMACION,CIUDAD AUTÓNOMA DE BUENOS AIRES,6,Comuna 6
53,FLORES,CIUDAD AUTÓNOMA DE BUENOS AIRES,6,Comuna 6
54,NUEVA POMPEYA,CIUDAD AUTÓNOMA DE BUENOS AIRES,6,Comuna 6
55,PARQUE CHACABUCO,CIUDAD AUTÓNOMA DE BUENOS AIRES,7,Comuna 7
56,FLORES,CIUDAD AUTÓNOMA DE BUENOS AIRES,7,Comuna 7
57,FLORESTA,CIUDAD AUTÓNOMA DE BUENOS AIRES,7,Comuna 7
58,CABALLITO,CIUDAD AUTÓNOMA DE BUENOS AIRES,7,Comuna 7
59,NUEVA POMPEYA,CIUDAD AUTÓNOMA DE BUENOS AIRES,7,Comuna 7
60,PARQUE AVELLANEDA,CIUDAD AUTÓNOMA DE BUENOS AIRES,7,Comuna 7
61,CONSTITUCION,CIUDAD AUTÓNOMA DE BUENOS AIRES,7,Comuna 7
62,BOEDO,CIUDAD AUTÓNOMA DE BUENOS AIRES,7,Comuna 7
63,SIN INFORMACION,CIUDAD AUTÓNOMA DE BUENOS AIRES,7,Comuna 7
65,CASEROS,CIUDAD AUTÓNOMA DE BUENOS AIRES,7,Comuna 7
66,VILLA SOLDATI,CIUDAD AUTÓNOMA DE BUENOS AIRES,7,Comuna 7
67,VILLA LUGANO,CIUDAD AUTÓNOMA DE BUENOS AIRES,8,Comuna 8
68,VILLA SOLDATI,CIUDAD AUTÓNOMA DE BUENOS AIRES,8,Comuna 8
69,VILLA RIACHUELO,CIUDAD AUTÓNOMA DE BUENOS AIRES,8,Comuna 8
70,SIN INFORMACION,CIUDAD AUTÓNOMA DE BUENOS AIRES,8,Comuna 8
