ID_TIEMPO,ID_TIPO,ID_SUBTIPO,ID_UBICACION,DS_USO_ARMA,DS_USO_MOTO,CANTIDAD,,
44,1,1,110,NO,NO,1,,
252,1,1,67,NO,NO,1,,
293,1,1,102,NO,NO,1,,
295,1,1,55,NO,NO,1,,
295,1,1,55,NO,NO,1,,
481,1,1,138,NO,NO,1,,
562,1,1,17,NO,NO,1,,
791,1,1,11,NO,NO,1,,
852,1,1,102,NO,NO,1,,
931,1,1,110,NO,NO,1,,
1143,1,1,110,NO,NO,1,,
1265,1,1,79,NO,NO,1,,
1351,1,1,103,NO,NO,1,,
1422,1,1,68,NO,NO,1,,
1622,1,1,27,NO,NO,1,,
1724,1,1,28,NO,NO,1,,
1795,1,1,28,NO,NO,1,,
1852,1,1,11,NO,NO,1,,
1959,1,1,123,NO,NO,1,,
1998,1,1,72,NO,NO,1,,
2079,1,1,56,NO,NO,1,,
2187,1,1,118,NO,NO,1,,
2248,1,1,79,NO,NO,1,,
2297,1,1,110,NO,NO,1,,
2308,1,1,80,NO,NO,1,,
2308,1,1,80,NO,NO,1,,
2444,1,1,1,NO,NO,1,,
2540,1,1,56,NO,NO,1,,
2576,1,1,91,NO,NO,1,,
2621,1,1,56,NO,NO,1,,
2629,1,1,28,NO,NO,1,,
2708,1,1,72,NO,NO,1,,
2712,1,1,102,NO,NO,1,,
2919,1,1,72,NO,NO,1,,
2924,1,1,27,NO,NO,1,,
2957,1,1,38,NO,NO,1,,
2965,1,1,123,NO,NO,1,,
2992,1,1,104,NO,NO,1,,
3018,1,1,73,NO,NO,1,,
3036,1,1,47,NO,NO,1,,
3081,1,1,81,NO,NO,1,,
3137,1,1,105,NO,NO,1,,
3188,1,1,82,NO,NO,1,,
3255,1,1,28,NO,NO,1,,
3308,1,1,73,NO,NO,1,,
3534,1,1,118,NO,NO,1,,
3614,1,1,29,NO,NO,1,,
3786,1,1,30,NO,NO,1,,
3812,1,1,105,NO,NO,1,,
3925,1,1,91,NO,NO,1,,
4237,1,1,39,NO,NO,1,,
4259,1,1,73,NO,NO,1,,
4346,1,1,92,NO,NO,1,,
4402,1,1,93,NO,NO,1,,
4409,1,1,118,NO,NO,1,,
4424,1,1,27,NO,NO,1,,
4450,1,1,2,NO,NO,1,,
4475,1,1,124,NO,NO,1,,
4519,1,1,82,NO,NO,1,,
4540,1,1,69,NO,NO,1,,
4592,1,1,17,NO,NO,1,,
4595,1,1,118,NO,NO,1,,
4668,1,1,118,NO,NO,1,,
4689,1,1,138,NO,NO,1,,
4716,1,1,69,NO,NO,1,,
4737,1,1,118,NO,NO,1,,
4837,1,1,111,NO,NO,1,,
4979,1,1,105,NO,NO,1,,
5060,1,1,112,NO,NO,1,,
5107,1,1,3,NO,NO,1,,
5249,1,1,67,NO,NO,1,,
5507,1,1,138,NO,NO,1,,
5528,1,1,17,NO,NO,1,,
5647,1,1,56,NO,NO,1,,
5779,1,1,138,NO,NO,1,,
5943,1,1,90,NO,NO,1,,
6057,1,1,102,NO,NO,1,,
6133,1,1,91,NO,NO,1,,
6152,1,1,93,NO,NO,1,,
6183,1,1,138,NO,NO,1,,
6195,1,1,1,NO,NO,1,,
6224,1,1,11,NO,NO,1,,
6284,1,1,88,NO,NO,1,,
6421,1,1,102,NO,NO,1,,
6469,1,1,118,NO,NO,1,,
6482,1,1,102,NO,NO,1,,
